R,I,A,S,E,C,Dominant,Occupation,Major
40,28,32,22,5,35,R,Firefighters,Fire Science
23,38,29,37,16,12,I,Physicists,Physics
27,35,39,38,18,34,A,Musicians,Music
7,31,33,7,34,14,E,Sales Managers,Business Administration
32,32,38,17,39,15,E,Real Estate Agents,Real Estate
27,5,16,8,33,19,E,Real Estate Agents,Real Estate
11,13,16,16,40,4,E,Sales Managers,Business Administration
15,32,39,2,31,25,A,Musicians,Music
25,17,33,23,34,40,C,Administrative Assistants,Office Administration
19,22,3,14,11,17,I,Physicists,Physics
17,15,26,7,2,28,C,Administrative Assistants,Office Administration
23,16,8,23,36,19,E,Sales Managers,Business Administration
19,29,22,9,18,19,I,Computer Scientists,Computer Science
8,12,2,18,13,6,S,Rehabilitation Counselors,Rehabilitation Counseling
1,31,11,18,2,16,I,Physicists,Physics
12,35,36,20,6,32,A,Musicians,Music
15,9,7,35,0,17,S,Social Workers,Social Work
7,26,39,1,8,27,A,Graphic Designers,Graphic Design
39,31,4,8,32,6,R,Automotive Technicians,Automotive Technology
18,26,31,17,14,23,A,Musicians,Music
29,10,14,39,12,2,S,Rehabilitation Counselors,Rehabilitation Counseling
17,36,27,4,36,35,I,Computer Scientists,Computer Science
23,15,3,37,1,17,S,Social Workers,Social Work
12,26,24,12,23,30,C,Administrative Assistants,Office Administration
6,19,4,15,16,28,C,Administrative Assistants,Office Administration
14,28,22,4,22,0,I,Computer Scientists,Computer Science
27,35,23,8,17,0,I,Computer Scientists,Computer Science
9,5,28,11,9,34,C,Accountants,Accounting
18,34,30,37,37,2,S,Social Workers,Social Work
32,16,7,12,24,7,R,Firefighters,Fire Science
6,33,8,20,31,28,I,Computer Scientists,Computer Science
19,3,14,4,3,16,R,Firefighters,Fire Science
11,1,12,25,16,1,S,Rehabilitation Counselors,Rehabilitation Counseling
39,10,38,19,10,27,R,Automotive Technicians,Automotive Technology
20,2,6,1,9,23,C,Accountants,Accounting
36,17,13,15,15,13,R,Automotive Technicians,Automotive Technology
10,37,19,8,36,34,I,Computer Scientists,Computer Science
23,12,4,15,16,14,R,Firefighters,Fire Science
21,30,24,6,3,17,I,Physicists,Physics
7,25,23,29,8,7,S,Social Workers,Social Work
9,0,7,37,27,34,S,Rehabilitation Counselors,Rehabilitation Counseling
35,36,21,23,17,34,I,Physicists,Physics
22,31,25,21,16,1,I,Physicists,Physics
14,23,16,3,4,33,C,Administrative Assistants,Office Administration
26,40,1,6,6,16,I,Computer Scientists,Computer Science
13,5,16,21,14,29,C,Administrative Assistants,Office Administration
4,11,38,14,35,27,A,Musicians,Music
15,11,18,26,18,30,C,Administrative Assistants,Office Administration
29,1,4,5,1,14,R,Automotive Technicians,Automotive Technology
5,34,19,22,37,14,E,Real Estate Agents,Real Estate
7,10,7,22,5,5,S,Social Workers,Social Work
33,11,28,33,16,39,C,Administrative Assistants,Office Administration
39,23,15,38,13,40,C,Accountants,Accounting
38,26,14,33,27,12,R,Automotive Technicians,Automotive Technology
19,35,37,3,19,5,A,Musicians,Music
38,19,2,20,0,2,R,Automotive Technicians,Automotive Technology
35,5,7,10,37,40,C,Administrative Assistants,Office Administration
36,1,32,15,38,27,E,Sales Managers,Business Administration
6,6,0,25,5,5,S,Rehabilitation Counselors,Rehabilitation Counseling
35,35,9,35,22,0,R,Automotive Technicians,Automotive Technology
36,19,18,13,27,18,R,Automotive Technicians,Automotive Technology
32,17,0,35,27,37,C,Administrative Assistants,Office Administration
17,38,20,6,25,1,I,Computer Scientists,Computer Science
31,0,16,11,18,15,R,Automotive Technicians,Automotive Technology
0,19,23,23,37,9,E,Sales Managers,Business Administration
1,32,35,40,8,11,S,Rehabilitation Counselors,Rehabilitation Counseling
24,1,31,31,17,27,A,Musicians,Music
40,1,17,12,35,38,R,Automotive Technicians,Automotive Technology
16,6,30,2,34,35,C,Administrative Assistants,Office Administration
3,13,26,39,37,16,S,Social Workers,Social Work
7,1,35,14,16,10,A,Musicians,Music
15,7,0,30,20,20,S,Rehabilitation Counselors,Rehabilitation Counseling
15,3,31,0,9,26,A,Musicians,Music
10,39,6,9,18,32,I,Physicists,Physics
39,12,39,1,18,10,R,Firefighters,Fire Science
22,36,5,5,1,9,I,Computer Scientists,Computer Science
32,19,36,31,36,1,A,Graphic Designers,Graphic Design
17,23,27,22,31,8,E,Sales Managers,Business Administration
27,10,11,38,27,9,S,Rehabilitation Counselors,Rehabilitation Counseling
7,0,34,28,13,6,A,Musicians,Music
4,26,9,3,14,5,I,Physicists,Physics
15,39,20,4,14,29,I,Computer Scientists,Computer Science
21,27,38,33,4,15,A,Graphic Designers,Graphic Design
8,1,19,33,20,9,S,Rehabilitation Counselors,Rehabilitation Counseling
36,31,25,20,25,22,R,Firefighters,Fire Science
15,14,31,5,24,11,A,Musicians,Music
31,16,1,10,0,36,C,Administrative Assistants,Office Administration
38,1,20,20,3,15,R,Automotive Technicians,Automotive Technology
38,32,3,39,0,8,S,Rehabilitation Counselors,Rehabilitation Counseling
33,12,6,11,20,39,C,Administrative Assistants,Office Administration
9,31,22,36,24,14,S,Rehabilitation Counselors,Rehabilitation Counseling
30,20,19,11,25,3,R,Automotive Technicians,Automotive Technology
24,32,6,33,18,24,S,Social Workers,Social Work
35,3,37,16,19,10,A,Musicians,Music
10,0,9,15,4,7,S,Rehabilitation Counselors,Rehabilitation Counseling
25,33,4,32,3,4,I,Computer Scientists,Computer Science
26,33,17,21,22,4,I,Physicists,Physics
5,17,9,28,0,23,S,Rehabilitation Counselors,Rehabilitation Counseling
15,5,39,31,21,26,A,Graphic Designers,Graphic Design
6,6,22,0,22,20,A,Graphic Designers,Graphic Design
2,2,40,14,16,0,A,Graphic Designers,Graphic Design
21,0,28,30,16,26,S,Rehabilitation Counselors,Rehabilitation Counseling
21,10,4,1,5,40,C,Accountants,Accounting
21,18,33,4,20,7,A,Musicians,Music
4,28,20,0,22,14,I,Computer Scientists,Computer Science
25,33,8,39,0,16,S,Social Workers,Social Work
28,36,12,10,20,30,I,Physicists,Physics
